created_at,author_type,text
2026-05-02,user,"上传一个 80MB 的 PDF 解析了两小时还在转圈，也不知道是卡了还是在跑"
2026-05-03,user,"文档解析一直显示解析中，过了一晚上还是没好，也没有任何报错"
2026-05-04,enterprise,"解析失败了但是页面没有任何提示，只能看到状态还是 pending，根本不知道发生了什么"
2026-05-05,user,"不知道解析进行到哪一步了，界面就一个转圈图标，体验很差"
2026-05-06,user,"大文件解析经常卡住，只能重新上传，又得从头再来一遍"
2026-05-07,enterprise,"解析任务失败后看不到错误原因，我们只能反复重试，很影响交付"
2026-05-08,user,"启用 graphrag 之后解析频繁卡死，任务队列一直堆积下不去"
2026-05-09,user,"问答检索回来的内容跟我问的问题不相关，召回质量很差"
2026-05-10,enterprise,"引用标注点到的位置不对，跟原文对不上，没法给客户交代"
2026-05-11,user,"多个知识库一起检索的时候结果很乱，经常漏掉关键文档"
2026-05-12,user,"表格里的数据问出来经常是错的，感觉表格解析准确率比以前下降了"
2026-05-13,user,"回答里给的引用来源经常找不到对应原文，溯源不可信"
2026-05-14,user,"上传超过 100MB 的文件直接失败，也没有任何提示说为什么"
2026-05-15,user,"上传 docx 有时候会卡在 0%，要刷新好几次才动"
2026-05-16,enterprise,"批量上传一堆文件经常有几个失败，但完全不知道是哪几个失败了"
2026-05-17,user,"希望能显示解析进度百分比，像进度条一样让我知道还要等多久"
2026-05-18,user,"能不能在文档列表里加个进度条，显示解析到百分之多少了"
2026-05-19,user,"这破软件根本没法用，纯纯的垃圾"
2026-05-20,user,"装了半天都装不上，你们的文档写得跟天书一样，气死了"
2026-05-21,user,"我配置了本地 ollama 但是一直连不上，肯定是你们的 bug"
